NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Akele Café,4.9,34 comentários,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,,cafeteria,,,,,,,Parque Manibura,
Go Coffee Avenida Padre Antônio Tomás,4.6,16 comentários,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,,cafeteria,,,,,,,Aldeota,
Shopping RioMar Fortaleza,4.7,52.357 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",45 min a 3 h,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Papicu,
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7302632,-38.5112711,Aldeota,
Lis Café,5.0,Um comentário,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,,cafeteria,,,,,-3.7345754,-38.5173795,Centro,
Atelier 1913 Cafés Especiais,4.6,47 comentários,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,,cafeteria,,,,,-3.7270024,-38.5125802,Meireles,
Casa do Pão de Queijo RioMar,4.0,29 comentários,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,,cafeteria,,,,,,,Papicu,
Santa Maria Café,2.0,4 comentários,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,,cafeteria,,,,,,,São João Do Tauape,
Coffe America,,,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",,,cafeteria,,,,,-3.7729661,-38.481709,Edson Queiroz,
B.LEM,4.4,299 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7554302,-38.4887659,Edson Queiroz,
Vintage Coffee,,,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",,,cafeteria,,,,,-3.7414708,-38.4793569,Papicu,
Consulado Café,4.3,1.399 comentários,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",$$,,cafeteria,,,,,-3.7306392,-38.5418919,Farias Brito,
Benévolo Café e Gelato,4.5,744 comentários,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7241173,-38.5131283,Centro,
Vai Café,4.4,14 comentários,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria,,,,,,,Meireles,
Grão Café e Bistrô,4.0,8 comentários,"R. Joaquim Nabuco, 2829 - Dionísio Torres, Fortaleza - CE, 60125-121",Restaurante,,cafeteria,,,,,-3.7483625,-38.5054863,Dionísio Torres,
Novo Café,3.3,6 comentários,"R. João Carvalho, 800 - Aldeota, Fortaleza - CE, 60140-140",Café,,cafeteria,,,,,-3.7386447,-38.5049899,Aldeota,
Don Cookies Coffee House,4.9,14 comentários,"Rua Felino Barroso, 1001 - Fátima, Fortaleza - CE, 60050-130",Cafeteria,20 min a 1 h,cafeteria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7499126,-38.5276897,Fátima,
Café Conceito Bar,5.0,Um comentário,"Av. Beira Mar, 3958 - Praia de Iracema, Fortaleza - CE, 60060-610",Cafeteria,,cafeteria,,,,,,,Praia De Iracema,
Rose's Cafeteria & Restaurante,4.8,18 comentários,"R. Pedro Borges, 33 - Loja 01 - Centro, Fortaleza - CE, 60055-120",Cafeteria,25 min a 1 h,cafeteria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,,,Centro,
Chez Café,4.5,366 comentários,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",$$,,cafeteria,,,,,-3.8014064,-38.4914241,Cambeba,
Cafeteria Santa Clara Luíza Távora,4.5,380 comentários,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,1-2 horas,cafeteria,,,,,-3.7314274,-38.5093921,Aldeota,
Cafe Liguria,5.0,Um comentário,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria,,,,,-3.7336556,-38.5062822,Aldeota,
Salpetrier Café,4.9,29 comentários,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,,cafeteria,,,,,,,Aldeota,
Shopping RioMar Fortaleza,4.7,52.357 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",45 min a 3 h,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Papicu,
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7302632,-38.5112711,Aldeota,
Pâine Panificação Artesanal,,,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",$$,15 min a 1 h,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Varjota,
Central Coffee,5.0,Um comentário,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,,cafeteria,,,,,-3.7333012,-38.4988125,Meireles,
Café Iracema,4.0,4 comentários,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,,cafeteria,,,,,-3.7271101,-38.5320444,Centro,
Vonet Patisserie e Cafeteria,5.0,3 comentários,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,,cafeteria,,,,,-3.7413094,-38.520365,Joaquim Távora,Joaquim Távora
Cafeteria La Perla,5.0,Um comentário,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,,cafeteria,,,,,,,Centro,
Pâine croissanterie,4.2,27 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7554302,-38.4887659,Edson Queiroz,
Café Portugal,5.0,Um comentário,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,,cafeteria,,,,,-3.7395543,-38.5015875,Aldeota,
Bauducco,3.8,13 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,15 min,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7554302,-38.4887659,Edson Queiroz,
cafeteria arte de comer,5.0,2 comentários,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,,cafeteria,,,,,-3.7291144,-38.5428375,Farias Brito,
The Coffee,4.8,45 comentários,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,,cafeteria,,,,,,,Aldeota,
Bacio di Latte - Shopping Riomar Fortaleza,3.2,13 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,15 min,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Papicu,
Empório da Tapioca,4.3,246 comentários,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7374948,-38.4923902,Aldeota,
Sh82 Café,5.0,10 comentários,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria,,,,,,,Centro,
Dona Rocilda- Cafeteria e Doceria,4.8,31 comentários,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,,cafeteria,,,,,,,Jacarecanga,
