,NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO,LAT,LNG
78,Chez Café,cafeteria,"Av. Viena Weyne, 330 - Cambeba, Fortaleza - CE, 60822-180",$$,4.5,366,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cambeba,-3.801223013457,-38.491372996239
79,Cafeteria Santa Clara Luíza Távora,cafeteria,"Av. Santos Dumont, 1589 - Aldeota, Fortaleza - CE, 60160-150",Cafeteria,4.5,380,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota,-3.732941535502,-38.508279517122
80,Cafe Liguria,cafeteria,"Av. Santos Dumont - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.7327608466,-38.508995204439
81,Salpetrier Café,cafeteria,"Edifício Scopa Platinum Ao lado da Selfit - Av. Santos Dumont, 1650 - Aldeota, Fortaleza - CE, 60115-191",Cafeteria,4.9,29,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.733123388466,-38.508098839555
82,Pâine Panificação Artesanal,cafeteria,"R. Castro Monte, 899 - Varjota, Fortaleza - CE, 60230-175",$$,0.0,0,15.0,60.0,0 days 00:15:00,0 days 01:00:00,Varjota,-3.733331665281,-38.485981630668
83,Central Coffee,cafeteria,"Av. Dom Luís, 300 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.73284869949,-38.498842945585
84,Café Iracema,cafeteria,"R. Liberato Barroso, SN - Centro, Fortaleza - CE, 60030-160",Cafeteria,4.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.728104502238,-38.529277340099
85,Vonet Patisserie e Cafeteria,cafeteria,"R. Joaquim Tôrres, 298 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-130",Cafeteria,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza),-3.74116198334,-38.520355019029
86,Cafeteria La Perla,cafeteria,"R. Gen. Clarindo de Queiroz, 1745 - Box 383 - Centro, Fortaleza - CE, 60015-221",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.729827832471,-38.539351298696
87,Pâine croissanterie,cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Cafeteria,4.2,27,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Edson Queiroz,-3.757360011226,-38.489447002527
88,Café Portugal,cafeteria,"R. Osvaldo Cruz - Aldeota, Fortaleza - CE, 60140-155",Café,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.736033601132,-38.500458003943
89,Bauducco,cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,3.8,13,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Edson Queiroz,-3.757360011226,-38.489447002527
90,cafeteria arte de comer,cafeteria,"R. Frei Humberto - Farias Brito, Fortaleza - CE, 60010-815",Cafeteria,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito,-3.729444044546,-38.542874685051
91,The Coffee,cafeteria,"Av. Santos Dumont, 1788 - L04 - Aldeota, Fortaleza - CE, 60150-161",Cafeteria,4.8,45,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.733196996028,-38.507989029637
92,Bacio di Latte - Shopping Riomar Fortaleza,cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,3.2,13,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Papicu,-3.742328615642,-38.471450178313
93,Empório da Tapioca,cafeteria,"Rua Professor Dias da Rocha, 800 - Aldeota, Fortaleza - CE, 60170-285",Cafeteria,4.3,246,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Aldeota,-3.736192736522,-38.49195200376
94,Sh82 Café,cafeteria,"R. Floriano Peixoto, 1375 B - Centro, Fortaleza - CE, 60025-130",Cafeteria,5.0,10,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.734433997299,-38.529452988193
95,Dona Rocilda- Cafeteria e Doceria,cafeteria,"Av. Pres. Castelo Branco, 2031a - Jacarecanga, Fortaleza - CE, 60312-060",Cafeteria,4.8,31,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Jacarecanga,-3.714932996647,-38.545830975541
