NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
"Matte & Cia, mate e cia, massas, cafes , caldos, DD Lanches",5.0,3 comentários,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Lanchonete,,cafeteria
Bacio di Latte - Shopping Iguatemi Fortaleza,4.5,180 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$$,15 min,cafeteria
Fortaleza,,,"R. Cararú, 04 - Sabiaguaba, Fortaleza - CE, 60835-305",,,cafeteria
Cafè Dos Reis,,,"Av. Washington Soares, 4294 - Edson Queiroz, Fortaleza - CE, 60810-350",,,cafeteria
Bellanches,4.4,45 comentários,"R. Castro e Silva, 780 - Centro, Fortaleza - CE, 60030-010",Café,,cafeteria
Tapiocariabia,,,"R. Pedro Pereira, 1592 - Centro, Fortaleza - CE, 60035-001",,,cafeteria
Cookie Mania Bairro De Fátima,4.8,38 comentários,"Av. Deputado Oswaldo Studart, 40a - Fátima, Fortaleza - CE, 60411-260",Cafeteria,15-45 min,cafeteria
Café do Bigode,4.8,4 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Loja,,cafeteria
Cafeteria Club Café Santa Clara Reserva da Família - Aeroporto Internacional de Fortaleza,5.0,2 comentários,"Terminal, Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,,cafeteria
Café Viriato,4.4,49 comentários,"R. Osvaldo Cruz, 2828 - Dionísio Torres, Fortaleza - CE, 60125-151",Restaurante,"1-2,5 horas",cafeteria
Cafeteria Rituais - Club Café,5.0,Um comentário,"R. Des. Lauro Nogueira, 1500 Livraria Cultura RioMar Fortaleza (2° Piso - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria
Padaria Evandro Delicatessen,4.6,1.212 comentários,"R. Carlos Vasconcelos, 2169 - Aldeota, Fortaleza - CE, 60115-171",$,10-45 min,cafeteria
Jardim Café,5.0,Um comentário,"R. Nogueira Acioli, 891 - Aldeota, Fortaleza - CE, 60110-140",Café,,cafeteria
Cafe GGVP,,,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",,,cafeteria
Bless café & açaí,5.0,4 comentários,"R. Soriano Albuquerque, 62 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-470",Cafeteria,,cafeteria
Lanches,4.5,2 comentários,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,,cafeteria
Conveniência Vip Service,4.5,2 comentários,"R. Barão do Rio Branco, 1385 - Centro, Fortaleza - CE, 60025-061",Cafeteria,,cafeteria
Santa Maria Gourmet,3.6,31 comentários,"Dentro do Hospital Otoclinica - Joaquim Távora (Fortaleza), Fortaleza - CE",Cafeteria,,cafeteria
Go Coffee - Dom Luis,4.1,14 comentários,"Av. Júlio Abreu, 120 - loja 5 - Meireles, Fortaleza - CE, 60160-240",Café,,cafeteria
Padaria Romana Delicatessen,4.3,3.000 comentários,"Av. Treze de Maio, 901 - Fátima, Fortaleza - CE, 60040-531",$$,25 min,cafeteria
Tony Machine,,,"Avenida Imperador, 1060 - Centro, Fortaleza - CE, 60015-050",,,cafeteria
Cafeteria Família Café,5.0,4 comentários,"R. Rosinha Sampaio, 1869 - Quintino Cunha, Fortaleza - CE, 60346-251",Cafeteria,,cafeteria
Bom Café Brasil,5.0,28 comentários,"R. da Assunção, 912 - José Bonifacio, Fortaleza - CE, 60420-430",Torrefação de café,,cafeteria
Tapioca & Cia,3.4,5 comentários,"R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60015-221",Cafeteria,,cafeteria
"Coffee, Love & Friends",,,"Somente Delivery - R. Máximo Linhares, 310 - Cidade dos Funcionários, Fortaleza - CE, 60822-482","Loja de cestas de presente em Fortaleza, Ceará",,cafeteria
Café Solar Fortaleza,4.8,20 comentários,"R. Leonardo Mota, 295 - Meireles, Fortaleza - CE, 60160-110",Cafeteria,,cafeteria
Madocinhos,5.0,3 comentários,"Rua Governador Sampaio - Centro, Fortaleza - CE, 60055-050",Lanchonete,,cafeteria
