NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Café de Oyá,5.0,"R. Manuelito Moreira, 96 - Benfica, Fortaleza - CE, 60025-210",Bar,cafeteria,3,0.0,0.0
Cafeteria Club Café Rituais - Aeroporto Internacional de Fortaleza,3.8,"Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,cafeteria,4,0.0,0.0
"Matte & Cia, mate e cia, massas, cafes , caldos, DD Lanches",5.0,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Lanchonete,cafeteria,3,0.0,0.0
Bacio di Latte - Shopping Iguatemi Fortaleza,4.5,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$$,cafeteria,180,15.0,15.0
Fortaleza,0.0,"R. Cararú, 04 - Sabiaguaba, Fortaleza - CE, 60835-305",,cafeteria,0,0.0,0.0
Cafè Dos Reis,0.0,"Av. Washington Soares, 4294 - Edson Queiroz, Fortaleza - CE, 60810-350",,cafeteria,0,0.0,0.0
Bellanches,4.4,"R. Castro e Silva, 780 - Centro, Fortaleza - CE, 60030-010",Café,cafeteria,45,0.0,0.0
Tapiocariabia,0.0,"R. Pedro Pereira, 1592 - Centro, Fortaleza - CE, 60035-001",,cafeteria,0,0.0,0.0
Cookie Mania Bairro De Fátima,4.8,"Av. Deputado Oswaldo Studart, 40a - Fátima, Fortaleza - CE, 60411-260",Cafeteria,cafeteria,38,45.0,45.0
Café do Bigode,4.8,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Loja,cafeteria,4,0.0,0.0
Cafeteria Club Café Santa Clara Reserva da Família - Aeroporto Internacional de Fortaleza,5.0,"Terminal, Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900",Cafeteria,cafeteria,2,0.0,0.0
Café Viriato,4.4,"R. Osvaldo Cruz, 2828 - Dionísio Torres, Fortaleza - CE, 60125-151",Restaurante,cafeteria,49,0.0,0.0
Cafeteria Rituais - Club Café,5.0,"R. Des. Lauro Nogueira, 1500 Livraria Cultura RioMar Fortaleza (2° Piso - Papicu, Fortaleza - CE, 60175-055",Cafeteria,cafeteria,Umcomentário,0.0,0.0
Padaria Evandro Delicatessen,4.6,"R. Carlos Vasconcelos, 2169 - Aldeota, Fortaleza - CE, 60115-171",$,cafeteria,1.212,45.0,45.0
Jardim Café,5.0,"R. Nogueira Acioli, 891 - Aldeota, Fortaleza - CE, 60110-140",Café,cafeteria,Umcomentário,0.0,0.0
Cafe GGVP,0.0,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",,cafeteria,0,0.0,0.0
Bless café & açaí,5.0,"R. Soriano Albuquerque, 62 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-470",Cafeteria,cafeteria,4,0.0,0.0
Lanches,4.5,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,cafeteria,2,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.357,45.0,45.0
Conveniência Vip Service,4.5,"R. Barão do Rio Branco, 1385 - Centro, Fortaleza - CE, 60025-061",Cafeteria,cafeteria,2,0.0,0.0
Santa Maria Gourmet,3.6,"Dentro do Hospital Otoclinica - Joaquim Távora (Fortaleza), Fortaleza - CE",Cafeteria,cafeteria,31,0.0,0.0
Go Coffee - Dom Luis,4.1,"Av. Júlio Abreu, 120 - loja 5 - Meireles, Fortaleza - CE, 60160-240",Café,cafeteria,14,0.0,0.0
Padaria Romana Delicatessen,4.3,"Av. Treze de Maio, 901 - Fátima, Fortaleza - CE, 60040-531",$$,cafeteria,3.000,25.0,25.0
Tony Machine,0.0,"Avenida Imperador, 1060 - Centro, Fortaleza - CE, 60015-050",,cafeteria,0,0.0,0.0
Cafeteria Família Café,5.0,"R. Rosinha Sampaio, 1869 - Quintino Cunha, Fortaleza - CE, 60346-251",Cafeteria,cafeteria,4,0.0,0.0
Bom Café Brasil,5.0,"R. da Assunção, 912 - José Bonifacio, Fortaleza - CE, 60420-430",Torrefação de café,cafeteria,28,0.0,0.0
Tapioca & Cia,3.4,"R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60015-221",Cafeteria,cafeteria,5,0.0,0.0
"Coffee, Love & Friends",0.0,"Somente Delivery - R. Máximo Linhares, 310 - Cidade dos Funcionários, Fortaleza - CE, 60822-482","Loja de cestas de presente em Fortaleza, Ceará",cafeteria,0,0.0,0.0
Café Solar Fortaleza,4.8,"R. Leonardo Mota, 295 - Meireles, Fortaleza - CE, 60160-110",Cafeteria,cafeteria,20,0.0,0.0
