NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Sal e Açucar;5.0;2 comentários;Avenida Imperador, 1473 - Farias Brito, Fortaleza - CE, 60015-052;Delivery;;delivery de comida
Porquilo Self-Service;;;R. Barão do Rio Branco, 1221 - Centro, Fortaleza - CE, 60025-061;$$;45 min;delivery de comida
Pizza Prime;4.0;141 comentários;R. Barão de Aratanha, 873 - José Bonifacio, Fortaleza - CE, 60050-071;Delivery de Pizza;;delivery de comida
Republic Pizzaria Delivery;4.4;54 comentários;R. Waldery Uchôa, 188 - Benfica, Fortaleza - CE, 60020-110;Delivery de Pizza;;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Mini Menu Fortaleza;5.0;3 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;;delivery de comida
Republic Pizzaria Delivery;4.4;54 comentários;R. Waldery Uchôa, 188 - Benfica, Fortaleza - CE, 60020-110;Delivery de Pizza;;delivery de comida
Jotacê Carnes & Grill - Cocó;;;Alameda das Angélicas, 340 A - Cocó, Fortaleza - CE, 60192-085;Açougue;;delivery de comida
Salty salgados;3.7;3 comentários;R. dos Cajueiros, 1409 - Manuel Dias Branco, Fortaleza - CE, 60190-620;Lanchonete;;delivery de comida
Açailândia Conceito: Açaí, Cremes, Milk Shake, Pizzas, Delivery em Fortaleza CE;4.8;1.240 comentários;R. Conegundes Rodrigues, 425 - Montese, Fortaleza - CE, 60410-226;Loja de açaí;15-45 min;delivery de comida
Talita Lanches e Refeições;5.0;Um comentário;Av. Antônio Sales, 1001 - loja 6 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-100;Restaurante;;delivery de comida
Restaurante Estação do marisco Fortaleza Ceará;5.0;20 comentários;R. Frederico Borges, 404 - Meireles, Fortaleza - CE, 60175-040;Restaurante de frutos do mar;;delivery de comida
Lucio Lanches;;;B - R. Rodrigues Júnior, 1432 - Centro, Fortaleza - CE, 60060-001;Lanchonete;;delivery de comida
Quentinha do Chef;3.9;7 comentários;R. Antônio Drumond, 165 - Monte Castelo, Fortaleza - CE, 60325-700;Restaurante;;delivery de comida
Tropical Restaurante;;;R. da Assunção, 16 - Centro, Fortaleza - CE, 60050-010;$;30 min;delivery de comida
Comida D'Cozinha;5.0;2 comentários;Av. Pres. Castelo Branco, 2435 - Carlito Pamplona, Fortaleza - CE, 60312-060;Lanchonete;;delivery de comida
Picanha's Food Truck;4.0;4 comentários;Av. Desembargador Moreira, 2355 - Aldeota, Fortaleza - CE, 60170-172;Restaurante;;delivery de comida
Flavio Lanches;;;Rua Governador Sampaio, 431 - Centro, Fortaleza - CE, 60055-050;Restaurante;;delivery de comida
Amigos Sushi;3.3;15 comentários;R. Vilebaldo Aguiar, 2222 - Cocó, Fortaleza - CE, 60192-035;Restaurante de sushi;;delivery de comida
Lanchonete Hiper Lanche;4.0;Um comentário;Rua General Bezerril, 593 - Centro, Fortaleza - CE, 60055-100;Lanchonete;;delivery de comida
Marmitaria e churrasquinho Rosana;;;Miguel calmont 526, Fortaleza - CE, 60821-200;;;delivery de comida
BM Log Express;5.0;Um comentário;R. Nogueira Acioli, 996 - Centro, Fortaleza - CE, 60110-140;Serviço de entrega;;delivery de comida
Amazon Delícia;;;R. Sen. Pompeu, 1579 - Centro, Fortaleza - CE, 60025-001;Restaurante;;delivery de comida
Food Brazil;;;R. Major Facundo, 833 - Centro, Fortaleza - CE, 60025-100;Restaurante;30 min a 1 h;delivery de comida
Cantinho Da Tica;;;R. Cel. Ferraz, 284 - Centro, Fortaleza - CE, 60060-150;Restaurante;;delivery de comida
Restaurante Compasso Gourmet;;;R. Pedro 1, 349 - Centro, Fortaleza - CE, 60035-100;$$;30 min;delivery de comida
